Date,AMD,INTC,NVDA,QCOM,SOXX,SPY
2025-09-23,160.89999389648438,29.34000015258789,178.42999267578125,169.52999877929688,269.510009765625,663.2100219726562
2025-09-24,160.8800048828125,31.219999313354492,176.97000122070312,173.5500030517578,269.1000061035156,661.0999755859375
2025-09-25,161.27000427246094,33.9900016784668,177.69000244140625,169.67999267578125,268.239990234375,658.0499877929688
2025-09-26,159.4600067138672,35.5,178.19000244140625,169.1999969482422,268.8299865722656,661.8200073242188
2025-09-29,161.36000061035156,34.47999954223633,181.85000610351562,165.3000030517578,268.92999267578125,663.6799926757812
2025-09-30,161.7899932861328,33.54999923706055,186.5800018310547,166.36000061035156,271.1199951171875,666.1799926757812
2025-10-01,164.00999450683594,35.939998626708984,187.24000549316406,166.49000549316406,276.3399963378906,668.4500122070312
2025-10-02,169.72999572753906,37.29999923706055,188.88999938964844,168.85000610351562,281.69000244140625,669.219970703125
2025-10-03,164.6699981689453,36.83000183105469,187.6199951171875,169.17999267578125,279.9599914550781,669.2100219726562
2025-10-06,203.7100067138672,36.59000015258789,185.5399932861328,168.6199951171875,288.3599853515625,671.6099853515625
2025-10-07,211.50999450683594,37.16999816894531,185.0399932861328,165.4600067138672,281.9100036621094,669.1199951171875
2025-10-08,235.55999755859375,37.43000030517578,189.11000061035156,167.77000427246094,291.5400085449219,673.1099853515625
2025-10-09,232.88999938964844,37.79999923706055,192.57000732421875,165.66000366210938,290.19000244140625,671.1599731445312
2025-10-10,214.89999389648438,36.369998931884766,183.16000366210938,153.58999633789062,271.989990234375,653.02001953125
2025-10-13,216.4199981689453,37.220001220703125,188.32000732421875,161.77999877929688,284.8699951171875,663.0399780273438
2025-10-14,218.08999633789062,35.630001068115234,180.02999877929688,161.74000549316406,279.0299987792969,662.22998046875
2025-10-15,238.60000610351562,37.150001525878906,179.8300018310547,162.97000122070312,287.6400146484375,665.1699829101562
2025-10-16,234.55999755859375,36.84000015258789,181.80999755859375,164.0800018310547,288.9800109863281,660.6400146484375
2025-10-17,233.0800018310547,37.0099983215332,183.22000122070312,163.4499969482422,288.1700134277344,664.3900146484375
2025-10-20,240.55999755859375,38.099998474121094,182.63999938964844,167.0399932861328,292.9700012207031,671.2999877929688
2025-10-21,238.02999877929688,38.119998931884766,181.16000366210938,168.8300018310547,291.3299865722656,671.2899780273438
2025-10-22,230.22999572753906,36.91999816894531,180.27999877929688,169.27000427246094,284.1300048828125,667.7999877929688
